date,grade,name,station
2003-11-26,Carabinero,Hernán Óscar Rodríguez Soto,20a. Com. Puente Alto
2003-11-26,Carabinero,Patricio Bladimir Vivanco Chamorro,Retén Los Laureles
2003-09-27,Cabo 2do.,Luis Alfonso Rojas Molina,Subcom. Requinoa
2003-08-14,Cabo 2do.,Nelson Mauricio Martínez Martínez ,7ma. Com. Villarica
2003-07-30,Cabo 2do.,Paula Alejandra Díaz Araneda,Tenencia Carret Gultro
2003-06-21,Carabinero,Luis Alberto Monroy Tapia,6a. Com. San Vicente
2003-05-30,Cabo 2do.,Carlos Bernardo Garcés Estay ,4a. Com. Tránsito Concep.
2003-03-21,Carabinero,Marcelo Iván Mella Sepúlveda ,2a. Com. Antofagasta
2002-12-21,Cabo 1ro.,Miguel Segundo Troncoso Silva,40a. Com. FF.EE
2002-11-20,Carabinero,Marcelo Castillo Fernández,Tenencia Mejillones
2002-10-10,Carabinero,Andrea Alejandra León Alarcón,ESFOPOLCAR PM.
2002-07-04,Cabo 1ro.,Manuel Orlando Hernández Valladares,Retén Achibueno
2002-06-15,Cabo 2do.,Nelson Pedro Vargas Arellano,42a. Com. R.P.
2002-05-19,Carabinero,Johana Andrea Espinoza Ramírez,1a. Com. San Antonio
2002-05-10,Carabinero,José Patricio López Vicencio,2a. Com. Quilpue
2002-04-16,Cabo 1ro.,Miguel Enrique Yáñez Aedo,Gpo. Eescolta Presidencial
2002-04-12,Cabo 2do.,Mario Ernesto Carrasco Pérez,10a. Com. La Cisterna
2002-02-09,Carabinero,Heriberto Javier Morales Villarroel,Tcia. Carreteras Colchahua
2002-01-16,Sargento 1ro.,Juan Francisco Hernandez Hernandez,7a. Com. FF.EE. Valparaíso
2001-12-24,Carabinero,Carlos Enrique Garcias Medina,2a. Com. Santiago
2001-12-02,Cabo 1ro.,Rafael Antonio Barrios Ramírez,GRUFOPOLCAR Concepción
2001-11-07,Carabinero,Luis Omar Molina Zenteno,11a. Com. Lo Espejo
2001-10-22,Carabinero,Rodrigo Andrés Flores González,4a. Com. Rengo
2001-10-10,Capitán,Patricio Peñaloza González,II Zona Antofagasta. Sección Aeropolicial
2001-10-10,Sargento 2do.,Arturo Hernán Farias Botarro,SubCom. I.A.T. Antofagasta
2001-10-10,Capitán,Julio Alejandro German Ramírez Cáceres,3a. Com. Parral
2001-10-10,Capitán,Patricio Guillermo Arancibia Hohmann ,"Zona Antofagasta, Sección Aeropolicial"
2001-10-10,Sargento 2do.,Pedro Segundo Saez Aguilera ,Subcom. I.A.T. Antofagasta
2001-10-10,Carabinero,Nancy del Carmen Núñez Osorio,Subcom. I.A.T. Antofagasta
2001-10-10,Carabinero,Marcelo Augusto Rivera Duran ,Subcom. I.A.T. Antofagasta
2001-09-18,Cabo 1ro.,Humitel Enrique Guzmán Guzmán,Gpo. Guardia de Palacio
2001-07-31,Cabo 1ro.,Luis Alejandro Coloma Moraga,1a. Com. Concepción
2001-07-02,Cabo 1ro.,Juan Guillermo López Valencia,Subcom. Los Libertadores
2001-04-16,Cabo 1ro.,Miguel Yáñez Aedo,Gpo. Escolta Presidencial
2001-03-29,Carabinero,Íngrid Patricia Carreño Urrejola,32a. Com. Tránsito
2001-03-24,Cabo 1ro.,Hernán Mauricio Palma Rodríguez,5a. Com. Pitrufquen
2001-02-02,Carabinero,José Antonio bustos Hernández,2a. Com. Constitución
2001-01-01,Cabo 2do.,Germán Espinoza Elgueta,1a. Com. Santiago
2000-10-01,Carabinero,Álvaro Rafael Aedo Palma,37a. Com. Vitacura
2000-09-30,Carabinero,Héctor Marcelo Cartes Espinoza,3a. Com. Santiago
2000-09-13,Cabo 2do.,Selim Victoriano Vera Aguayo,5a. Com. Conchalí
2000-08-21,Cabo 1ro.,Jorge Antonio Ferrari Fierro,21a. Com. Estación Central
2000-08-05,Capitán,Marcos Antonio Rieutord Miquel,2a. Com. Antofagasta
2000-07-21,Carabinero,Sergio Gabriel Troncoso Muñoz,2a. Com. San Felipe
2000-07-21,Cabo 1ro.,Carlos Anselmo Sáez Ríos,Tcia. Catemu
2000-07-21,Carabinero,Milton Javier Flores Recabal,Subcom. Llay-Llay
2000-07-07,Carabinero,Freddy Rodrigo Carrasco Navarrete,50a. Com. San Joaquin
2000-06-29,Carabinero,Héctor Raúl Menares Provoste,Retén Copiulemu
2000-05-31,Carabinero,Paola Andrea Villalón López,2a. Com. San Felipe
2000-05-17,Cabo 1ro.,Rodolfo Patricio Flores Godoy,3a. Com. Bulnes
2000-03-03,Cabo 1ro.,José Daniel Farias Berrios,32a. Com. Tránsito
1999-08-04,Sargento 1ro.,Ernesto Venegas Cuevas,1a. Com. Arauco
1999-05-14,Cabo 1ro.,Gilberto Hernán Basaez Gómez,2a. Com. Santa Cruz
1999-02-22,Cabo 1ro.,Marcelo Reiner Saavedra Jerez,1a. Com. Viña Del Mar
1999-02-20,Carabinero,Daniel Marcelo Garrido Moraga,1a. Com. Santiago
1999-01-09,Carabinero,José Ivan Rojas Herrera,9a. Com. Independencia
1998-12-27,Sargento 2do.,Julio Francisco Moran Alcaino,2a. Com. Graneros
1998-11-11,Cabo 1ro.,Pedro Antonio San Juan Monardez,2a. Com. Coquimbo
1998-07-24,Subteniente,Javier Andres Olsen González,10a. Com. La Cisterna
1998-07-10,Cabo 2do.,Pedro Pablo Pérez Aravena,8a. Com. Colina
1998-05-10,Carabinero,Erwin Rodrigo Cifuentes Hernández,Tcia. Carreteras San Felipe
1998-04-08,Cabo 2do.,Rodolfo Antonio Ibáñez Bizama,13a. Com. La Granja
1998-03-26,Carabinero,Quintín David Cárcamo Leiva,Escuela de Equitación
1998-03-04,Cabo 2do.,Juan Oscar de la Rosa Sepúlveda Zúñiga,1a. Com. Tome
1998-01-08,Cabo 2do.,Luis Alberto Arroyo Figueroa,42a. Com. R.P.
1998-01-08,Cabo 2do.,Vianel Antonio Latin Carrasco,Dirección Inteligencia Policial de Carabineros
1997-12-22,Cabo 2do.,Victor Aldo Tapia Celedon,Subcom. Playa Blanca
1997-11-13,Carabinero,Carlos Roberto Riquelme Cea,1a. Com. San Fernando
1997-11-10,Cabo 2do.,Sergio Benito Poblete Yevenes,17a. Com. Las Condes
1997-07-24,Cabo 1ro.,Jorge Alex Troncoso Troncoso,3a. Com. Arica
1997-06-04,Cabo 1ro.,Héctor Toribio Zapata Cuevas,23a. Com. Talagante
1997-05-06,Mayor,Fernando Antonio Escudero Bouza,26a. Com. Pudahuel
1997-05-05,Cabo 1ro.,Marcelo Federico Eastman Labra,26a. Com. Pudahuel
1997-01-28,Teniente,Rodrigo Antonio Mardones Concha,Dirección de Drogas y Prevención Delictual
1997-01-04,Teniente,Juan Luis Poza Reyes,8a. Com. Colina
1996-10-21,Carabinero,Joaquin Andres Araneda Gomez,40a. Com. FE. EE.
1996-10-07,Cabo 2do.,Miguel Angel Imigo Paillan,4a. Esc. Logistico y Personal
1996-10-02,Coronel,Hernan Sergio Barriga Guzman ,Depto. Dotaciones y Comisiones Transitorias.
1996-10-01,Cabo 1ro.,Manuel Moises Suarez Rojas,4a. Com. Rengo
1996-08-21,Cabo 1ro.,Jose Roberto Ibarra Araya,40a. Com. Ff. Ee
1996-07-04,Carabinero,Ricardo Hernan Benavente Quintriqueo,30a. Com. R.P.
1996-06-15,Capitán,María Eugenia Delgado,Pref. Talca
1996-04-22,Carabinero,Juan Mauricio Vasquez Reyes,18a. Com. Ñuñoa
1996-03-03,Carabinero,Angelo Alberto Riquelme Riquelme,46a. Comisaria Macul
1996-02-08,Cabo 1ro.,Juan Carlos Silva Toro,5a. Com. Viña Del Mar
